epoch,accuracy,loss,val_accuracy,val_loss
0,0.670634925365448,1.122285008430481,0.9074074029922485,0.642366886138916
1,0.9007936716079712,0.46754929423332214,0.9370370507240295,0.3497152626514435
2,0.9365079402923584,0.2837444841861725,0.9555555582046509,0.2338527888059616
3,0.958730161190033,0.20035359263420105,0.9666666388511658,0.17935705184936523
4,0.9714285731315613,0.1453447937965393,0.9444444179534912,0.1774377077817917
5,0.9698412418365479,0.12206185609102249,0.9555555582046509,0.1532720923423767
6,0.973809540271759,0.11013245582580566,0.9666666388511658,0.12208253145217896
7,0.9809523820877075,0.09379962831735611,0.9888888597488403,0.09000689536333084
8,0.976190447807312,0.09442499279975891,0.9851852059364319,0.08343447744846344
9,0.9865079522132874,0.06808140128850937,0.9777777791023254,0.08559342473745346
10,0.9857142567634583,0.06533795595169067,0.9777777791023254,0.08532203733921051
11,0.988095223903656,0.05922717601060867,0.9814814925193787,0.06040958687663078
12,0.9904761910438538,0.04797135666012764,0.9814814925193787,0.058318402618169785
13,0.988095223903656,0.05378638952970505,0.9777777791023254,0.07524853944778442
14,0.9896825551986694,0.04493054375052452,0.9814814925193787,0.06262481212615967
15,0.9920634627342224,0.04630880802869797,0.9925925731658936,0.039187099784612656
16,0.9849206209182739,0.05220785737037659,0.9925925731658936,0.042500872164964676
17,0.9849206209182739,0.04582921415567398,0.9925925731658936,0.03848996013402939
18,0.9936507940292358,0.03737768530845642,0.9851852059364319,0.04348079487681389
19,0.988095223903656,0.04097425937652588,0.9888888597488403,0.042311713099479675
20,0.9952380657196045,0.03458256646990776,0.9851852059364319,0.03838248923420906
21,0.9912698268890381,0.03327424079179764,0.9888888597488403,0.033358845859766006
22,0.9960317611694336,0.02819930575788021,0.9851852059364319,0.04291510954499245
23,0.9896825551986694,0.03340623155236244,0.9925925731658936,0.030378160998225212
24,0.9928571581840515,0.03444821760058403,0.9925925731658936,0.028608743101358414
