epoch,accuracy,loss,val_accuracy,val_loss
0,0.6015872955322266,1.1311776638031006,0.24444444477558136,2.0463085174560547
1,0.75,0.7383573651313782,0.1666666716337204,2.9582109451293945
2,0.7976190447807312,0.5835945010185242,0.2222222238779068,3.316659927368164
3,0.8134920597076416,0.5380764603614807,0.1666666716337204,5.049807548522949
4,0.867460310459137,0.415253221988678,0.1666666716337204,5.843018054962158
5,0.8928571343421936,0.320586234331131,0.1666666716337204,5.952393531799316
6,0.9134920835494995,0.2909785807132721,0.1666666716337204,5.598392009735107
7,0.9134920835494995,0.2674279808998108,0.1666666716337204,5.589991092681885
8,0.9095237851142883,0.27028587460517883,0.1666666716337204,5.181427955627441
9,0.9190475940704346,0.24624483287334442,0.17777778208255768,4.756994247436523
10,0.934920608997345,0.2338036149740219,0.28518518805503845,3.916402578353882
