epoch,accuracy,loss,val_accuracy,val_loss
0,0.17380952835083008,1.7698419094085693,0.17407406866550446,1.7332007884979248
1,0.30000001192092896,1.5989042520523071,0.4407407343387604,1.4233708381652832
2,0.5333333611488342,1.2104748487472534,0.6296296119689941,1.1141936779022217
3,0.6785714030265808,0.849104642868042,0.6740740537643433,0.9754416942596436
4,0.776190459728241,0.6178886294364929,0.800000011920929,0.5927594900131226
5,0.791269838809967,0.5805516839027405,0.7629629373550415,0.6966279745101929
6,0.8095238208770752,0.580403208732605,0.8407407402992249,0.47012364864349365
7,0.9119047522544861,0.277804434299469,0.8962963223457336,0.26553595066070557
8,0.9166666865348816,0.22668413817882538,0.9074074029922485,0.21455194056034088
9,0.8007936477661133,0.6361836791038513,0.7333333492279053,0.7871673107147217
10,0.8626984357833862,0.39005041122436523,0.8703703880310059,0.2896653413772583
11,0.9198412895202637,0.22722141444683075,0.8962963223457336,0.2564353942871094
12,0.9174603223800659,0.23547638952732086,0.914814829826355,0.22916176915168762
13,0.946825385093689,0.15286485850811005,0.9185185432434082,0.17049936950206757
14,0.9571428298950195,0.1394972950220108,0.9296296238899231,0.15756693482398987
15,0.9555555582046509,0.12540149688720703,0.9629629850387573,0.14092713594436646
16,0.9634920358657837,0.12009842693805695,0.9444444179534912,0.13007685542106628
17,0.9603174328804016,0.11928432434797287,0.9444444179534912,0.12483172863721848
18,0.961904764175415,0.1257992833852768,0.9444444179534912,0.16228175163269043
19,0.9626984000205994,0.11694315075874329,0.9555555582046509,0.13118577003479004
20,0.958730161190033,0.1098514124751091,0.9333333373069763,0.13436686992645264
21,0.9611111283302307,0.12120524793863297,0.9407407641410828,0.12181930243968964
22,0.9579365253448486,0.11651349812746048,0.9629629850387573,0.10540347546339035
23,0.9714285731315613,0.10582245141267776,0.9740740656852722,0.09820880740880966
24,0.9714285731315613,0.09524259716272354,0.9666666388511658,0.10352999716997147
