epoch,accuracy,loss,val_accuracy,val_loss
0,0.190476194024086,1.7284435033798218,0.2481481432914734,1.699051022529602
1,0.41031745076179504,1.4839237928390503,0.5518518686294556,1.3579742908477783
2,0.5230158567428589,1.2492549419403076,0.41111111640930176,1.7627837657928467
3,0.5246031880378723,1.2103006839752197,0.6259258985519409,1.0651812553405762
4,0.6507936716079712,0.9337249398231506,0.699999988079071,0.8747380375862122
5,0.7063491940498352,0.8090059161186218,0.5185185074806213,1.0517258644104004
6,0.7746031880378723,0.6315856575965881,0.7518518567085266,0.7372985482215881
7,0.7849206328392029,0.631707489490509,0.4333333373069763,1.3202829360961914
8,0.8238095045089722,0.5502901673316956,0.8777777552604675,0.330456018447876
9,0.8523809313774109,0.4459683895111084,0.7148148417472839,0.7147403955459595
10,0.879365086555481,0.3762793242931366,0.7962962985038757,0.5134180188179016
11,0.8634920716285706,0.38379737734794617,0.885185182094574,0.3576750159263611
12,0.9031745791435242,0.30998823046684265,0.8703703880310059,0.3153999149799347
13,0.8865079283714294,0.33533918857574463,0.8629629611968994,0.351412832736969
14,0.9023809432983398,0.30914920568466187,0.8592592477798462,0.4454909563064575
15,0.9142857193946838,0.24731384217739105,0.8962963223457336,0.24205924570560455
16,0.9198412895202637,0.22915104031562805,0.8777777552604675,0.347639262676239
17,0.9269841313362122,0.21923571825027466,0.9259259104728699,0.182843878865242
18,0.9230158925056458,0.23102162778377533,0.9111111164093018,0.23136039078235626
19,0.8928571343421936,0.3293825387954712,0.8814814686775208,0.3498758375644684
20,0.9079365134239197,0.2565537095069885,0.8814814686775208,0.3146122694015503
21,0.9357143044471741,0.19452014565467834,0.8222222328186035,0.43952223658561707
22,0.9492063522338867,0.14977248013019562,0.9296296238899231,0.16536226868629456
23,0.9563491940498352,0.13069579005241394,0.9333333373069763,0.13875281810760498
24,0.9547619223594666,0.13830874860286713,0.9333333373069763,0.15602946281433105
25,0.958730161190033,0.12267521768808365,0.8999999761581421,0.2163461297750473
26,0.961904764175415,0.11962609738111496,0.9111111164093018,0.18007031083106995
27,0.9603174328804016,0.11604490876197815,0.9259259104728699,0.14949160814285278
28,0.9674603343009949,0.10375751554965973,0.9222221970558167,0.16595996916294098
29,0.9682539701461792,0.10696934163570404,0.9333333373069763,0.14831984043121338
